Date,Daily Average RH
2013-05-01,31.448719
2013-05-02,31.45107
2013-05-03,31.254055
2013-05-04,31.198452
2013-05-05,31.004675
2013-05-06,31.360355
2013-05-07,31.348063
2013-05-08,31.41349
2013-05-09,31.428612
2013-05-10,31.693817
2013-05-11,31.563557
2013-05-12,31.604963
2013-05-13,31.878489
2013-05-14,32.21357
2013-05-15,33.1821
2013-05-16,33.158165
2013-05-17,32.620995
2013-05-18,32.213043
2013-05-19,32.63429
2013-05-20,33.143745
2013-05-21,33.202675
2013-05-22,33.142483
2013-05-23,33.47357
2013-05-24,33.307255
2013-05-25,32.94289
2013-05-26,33.122246
2013-05-27,33.11138
2013-05-28,32.984528
2013-05-29,33.05385
2013-05-30,33.566975
2013-05-31,33.703293
2013-06-01,33.531372
2013-06-02,33.922516
2013-06-03,33.52703
2013-06-04,33.35076
2013-06-05,33.128975
2013-06-06,32.90201
2013-06-07,33.212036
2013-06-08,33.622875
2013-06-09,34.353313
2013-06-10,34.81968
2013-06-11,34.46408
2013-06-12,34.428333
2013-06-13,34.746147
2013-06-14,34.74039
2013-06-15,34.597687
2013-06-16,34.961063
2013-06-17,35.307037
2013-06-18,35.894268
2013-06-19,36.191936
2013-06-20,35.89388
2013-06-21,35.73701
2013-06-22,35.47221
2013-06-23,35.771324
2013-06-24,36.096016
2013-06-25,36.677994
2013-06-26,36.655277
2013-06-27,36.34705
2013-06-28,36.289753
2013-06-29,35.760933
2013-06-30,35.31014
2013-07-01,35.657715
2013-07-02,35.551533
2013-07-03,35.56215
2013-07-04,35.85208
2013-07-05,36.25416
2013-07-06,35.925537
2013-07-07,35.83415
2013-07-08,35.809525
2013-07-09,36.037056
2013-07-10,35.79573
2013-07-11,35.74788
2013-07-12,35.157726
2013-07-13,35.259216
2013-07-14,34.967693
2013-07-15,35.164318
2013-07-16,35.454494
2013-07-17,35.33635
2013-07-18,35.395
2013-07-19,35.497402
2013-07-20,35.734364
2013-07-21,36.232853
2013-07-22,36.15796
2013-07-23,36.124374
2013-07-24,35.912117
2013-07-25,35.567398
2013-07-26,35.966583
2013-07-27,35.80834
2013-07-28,35.331703
2013-07-29,35.089725
2013-07-30,34.9974
2013-07-31,34.966454
2013-08-01,34.934105
2013-08-02,35.374027
2013-08-03,35.459885
2013-08-04,35.501602
2013-08-05,35.456978
2013-08-06,35.230125
2013-08-07,35.107124
2013-08-08,35.01479
2013-08-09,34.83343
2013-08-10,35.034363
2013-08-11,35.64132
2013-08-12,35.360634
2013-08-13,34.789173
2013-08-14,34.639923
2013-08-15,34.578423
2013-08-16,34.17665
2013-08-17,33.82426
2013-08-18,33.899647
2013-08-19,34.074596
2013-08-20,33.655632
2013-08-21,33.98565
2013-08-22,34.521423
2013-08-23,34.706757
2013-08-24,34.349964
2013-08-25,34.30158
2013-08-26,34.451603
2013-08-27,34.51082
2013-08-28,34.088192
2013-08-29,34.025673
2013-08-30,33.74392
2013-08-31,33.287838
2013-09-01,33.486267
2013-09-02,33.337833
2013-09-03,33.418198
2013-09-04,33.629612
2013-09-05,33.861546
2013-09-06,33.69859
2013-09-07,33.217945
2013-09-08,33.150604
2013-09-09,32.869476
2013-09-10,32.737503
2013-09-11,33.280598
2013-09-12,33.769005
2013-09-13,34.16515
2013-09-14,34.41139
2013-09-15,33.91016
2013-09-16,33.3177
2013-09-17,32.84594
2013-09-18,32.59807
2013-09-19,32.45625
2013-09-20,32.581367
2013-09-21,32.837772
2013-09-22,32.767124
2013-09-23,32.989048
2013-09-24,32.66601
2013-09-25,32.2946
2013-09-26,32.63079
2013-09-27,32.953175
2013-09-28,33.033134
2013-09-29,32.944572
2013-09-30,33.193237
2013-10-01,33.39908
2013-10-02,33.32698
2013-10-03,33.51958
2013-10-04,33.627846
2013-10-05,33.494602
2013-10-06,33.22434
2013-10-07,32.83739
2013-10-08,32.04631
2013-10-09,31.725178
2013-10-10,31.883757
2013-10-11,32.13648
2013-10-12,31.77941
2013-10-13,31.580496
2013-10-14,32.271873
2013-10-15,32.309135
2013-10-16,32.473644
2013-10-17,32.685463
2013-10-18,32.770832
2013-10-19,32.7303
2013-10-20,32.73388
2013-10-21,32.808628
2013-10-22,32.629894
2013-10-23,32.509285
2013-10-24,32.3137
2013-10-25,32.15478
2013-10-26,32.26064
2013-10-27,32.082394
2013-10-28,31.805819
2013-10-29,31.883657
2013-10-30,32.335667
2013-10-31,32.64293
