Date,Daily Average RH
2010-05-01,32.31579
2010-05-02,32.57212
2010-05-03,32.561165
2010-05-04,32.063576
2010-05-05,32.297245
2010-05-06,32.357212
2010-05-07,32.043884
2010-05-08,31.77517
2010-05-09,31.898766
2010-05-10,32.58411
2010-05-11,33.149204
2010-05-12,32.889763
2010-05-13,32.610317
2010-05-14,32.79251
2010-05-15,32.70748
2010-05-16,32.42398
2010-05-17,32.448505
2010-05-18,32.577576
2010-05-19,32.62888
2010-05-20,32.30506
2010-05-21,32.16868
2010-05-22,32.529167
2010-05-23,32.642178
2010-05-24,32.39821
2010-05-25,32.674343
2010-05-26,33.1926
2010-05-27,33.940876
2010-05-28,34.360943
2010-05-29,34.38061
2010-05-30,33.858585
2010-05-31,33.504948
2010-06-01,33.13309
2010-06-02,33.320724
2010-06-03,33.933098
2010-06-04,34.715397
2010-06-05,34.608963
2010-06-06,34.47047
2010-06-07,34.190224
2010-06-08,34.203316
2010-06-09,34.63081
2010-06-10,34.485035
2010-06-11,34.323517
2010-06-12,34.66732
2010-06-13,34.476658
2010-06-14,34.69051
2010-06-15,35.8545
2010-06-16,35.406593
2010-06-17,35.17315
2010-06-18,35.18364
2010-06-19,35.398582
2010-06-20,35.449966
2010-06-21,35.012814
2010-06-22,34.859287
2010-06-23,34.468838
2010-06-24,34.89184
2010-06-25,35.197746
2010-06-26,34.975475
2010-06-27,34.514774
2010-06-28,34.626434
2010-06-29,34.343994
2010-06-30,34.24018
2010-07-01,34.59328
2010-07-02,35.028015
2010-07-03,35.50083
2010-07-04,35.562275
2010-07-05,35.460026
2010-07-06,35.258633
2010-07-07,34.749374
2010-07-08,34.966866
2010-07-09,35.020008
2010-07-10,35.183212
2010-07-11,35.281544
2010-07-12,35.294594
2010-07-13,35.247265
2010-07-14,34.884842
2010-07-15,34.42577
2010-07-16,34.279816
2010-07-17,34.39603
2010-07-18,34.667828
2010-07-19,34.844524
2010-07-20,34.878788
2010-07-21,34.601933
2010-07-22,34.4736
2010-07-23,34.30937
2010-07-24,34.098026
2010-07-25,33.89908
2010-07-26,33.532063
2010-07-27,33.366455
2010-07-28,33.85826
2010-07-29,34.147038
2010-07-30,34.497562
2010-07-31,34.069347
2010-08-01,33.726906
2010-08-02,33.838024
2010-08-03,33.90678
2010-08-04,33.90926
2010-08-05,33.486423
2010-08-06,33.065464
2010-08-07,33.21974
2010-08-08,33.272224
2010-08-09,32.898174
2010-08-10,33.349724
2010-08-11,33.440502
2010-08-12,33.61444
2010-08-13,34.360317
2010-08-14,33.809914
2010-08-15,33.601982
2010-08-16,33.84954
2010-08-17,34.85977
2010-08-18,34.580666
2010-08-19,34.271385
2010-08-20,34.65355
2010-08-21,34.50143
2010-08-22,34.355503
2010-08-23,33.820755
2010-08-24,33.42614
2010-08-25,33.655037
2010-08-26,33.59959
2010-08-27,33.898506
2010-08-28,33.58379
2010-08-29,33.214336
2010-08-30,33.17543
2010-08-31,33.27477
2010-09-01,33.72501
2010-09-02,33.486412
2010-09-03,33.7374
2010-09-04,33.448498
2010-09-05,33.262703
2010-09-06,33.17396
2010-09-07,33.01657
2010-09-08,32.908524
2010-09-09,33.57676
2010-09-10,33.312286
2010-09-11,33.148735
2010-09-12,32.726494
2010-09-13,32.745655
2010-09-14,32.912598
2010-09-15,33.149452
2010-09-16,33.207405
2010-09-17,32.956734
2010-09-18,33.310722
2010-09-19,33.230892
2010-09-20,32.97706
2010-09-21,32.934788
2010-09-22,33.299343
2010-09-23,33.08247
2010-09-24,32.536316
2010-09-25,32.3741
2010-09-26,32.42514
2010-09-27,32.343945
2010-09-28,32.562634
2010-09-29,32.84185
2010-09-30,32.75241
2010-10-01,32.471863
2010-10-02,32.20978
2010-10-03,32.22062
2010-10-04,32.235405
2010-10-05,33.010796
2010-10-06,33.187073
2010-10-07,32.44363
2010-10-08,32.162323
2010-10-09,32.168602
2010-10-10,32.354492
2010-10-11,32.648243
2010-10-12,33.189827
2010-10-13,33.148045
2010-10-14,32.7924
2010-10-15,33.12115
2010-10-16,33.247715
2010-10-17,33.123493
2010-10-18,33.153835
2010-10-19,32.72289
2010-10-20,32.70988
2010-10-21,32.999065
2010-10-22,32.753407
2010-10-23,32.52061
2010-10-24,32.43614
2010-10-25,32.445538
2010-10-26,31.936644
2010-10-27,31.7427
2010-10-28,32.305
2010-10-29,32.10664
2010-10-30,31.700802
2010-10-31,32.039196
